n_layer1;n_layer2;n_layer3;dropout_1;dropout_2;k_size1;k_size2;act;optim;n_batch;lr;stride_1;stride_2;stride_3;best_val_loss
8;4;4;0.3386965858484735;0.08835521947244565;5;5;relu;adam;4;0.001;1;2;2;0.5324997901916504
32;32;16;0.48857485503287623;0.2407554846958151;5;3;relu;rmsprop;4;0.001;2;2;2;0.5568189024925232
8;4;32;0.4681034298688334;0.1543800897332881;5;3;relu;adam;8;0.001;2;1;2;0.5969192385673523
32;32;32;0.1963958732543608;1.492270406287799e-05;5;3;relu;sgd;4;0.0001;2;2;2;0.9977501630783081
4;4;32;0.4997936153601463;0.06393626771609663;5;3;elu;rmsprop;4;0.001;2;2;1;0.7188163995742798
8;32;32;0.42929788796713386;0.024382850334023973;5;3;relu;adam;2;1e-05;2;2;2;0.7134575843811035
32;16;4;0.3984614950532754;0.11651955300154074;5;5;relu;rmsprop;4;0.001;1;2;2;0.5780786871910095
8;4;32;0.32214121956416586;0.14217332488519177;5;3;relu;adam;16;0.001;2;2;2;0.5083388090133667
32;32;16;0.28499668310667636;0.07475660991604839;5;3;relu;rmsprop;4;0.01;2;1;2;0.652007520198822
8;4;32;0.47923568891766877;0.21642205809412407;5;3;relu;adam;4;0.001;2;2;2;0.41904011368751526
4;4;32;0.47692243516934024;0.29432712680293627;5;3;relu;adam;8;0.001;2;2;1;0.6694748997688293
32;4;32;0.48597468224632634;0.3195060966884788;5;3;elu;adam;4;0.0001;2;2;2;0.6778103709220886
8;4;32;0.4545818412110252;0.2517192062025857;5;5;relu;adam;4;0.001;1;2;2;0.5989589095115662
32;4;4;0.4411985757817283;0.3110356260213919;5;3;relu;adam;2;1e-05;2;2;2;0.9985993504524231
8;4;32;0.21634446573435115;0.23080927352385316;5;3;relu;adam;4;0.001;2;1;2;0.6001267433166504
32;4;16;0.4663798429725984;0.34033591434960847;5;3;relu;adam;16;0.01;2;2;2;0.5155061483383179
4;4;32;0.49769107652049116;0.27025804266721376;5;3;leakyrelu;adam;4;0.001;2;2;1;0.6015830636024475
8;4;32;0.3839331340644491;0.2154220927984535;5;3;relu;adam;4;0.001;2;2;2;0.5259517431259155
32;4;32;0.41468051330279687;0.1766260259798364;5;3;elu;adam;8;0.001;1;2;2;0.6237277388572693
8;4;32;0.4501565883410128;0.350834304011048;5;5;relu;adam;4;0.0001;2;2;2;0.6721165776252747
32;4;4;0.4799878337846696;0.20827128687351254;5;3;relu;adam;4;0.001;2;1;2;0.5075821280479431
8;4;32;0.40602281721879474;0.18524456083063223;5;3;relu;adam;2;0.001;2;2;2;0.3481481373310089
